Ulasan,Sentimen,Skor
"barang telah sampai dengan aman. setelah saya unboxing dan buka, kondisi handphone aman untuk handphone sendiri, ketika saya menyalakan, aman sentosa, hanya saja dari sis...",Normal,5
original.isi lengkap.dapat charge 33w.jelly case. pengukuran cepat. berfungsi dengan baik.,Normal,5
Packing rapi barang aman sampai rumah. Produk realpict sesuai deskripsi. Masih segel dan original. Berfungsi dengan baik tanpa ada cacat.,Positif,9
"Barang sudah sampai dengan selamat ,kondisi masih segel dan barang utuh , cuma gak dikasih pencopot sim , untuk yang lainnya bagus berfungsi normal dan barang original ma...",Positif,8
"barang masih di segel, berfungsi dg baik respon pembeli cepat,",Normal,6
"segel dan resmi dari official xiaomi. fitur sangat memuaskan mengingat harganya dibawah 2 juta. spesifikasi ram 8/memori internal 256 gb dengan fersi android terbaru, chi...",Normal,6
"Response penjual baik Dan cepat, sesuai dengan deskripsi. Produk bagus Dan sudah dipakai berfungsi dengan baik.",Normal,6
"barang masih segel, berfungsi dengan baik, datang selamat tanpa ada cacat sedikitpun,barang sesuai sangat memuaskan...",Normal,4
"barang nya aman dan kebetulan ekspedisi nya lagi bagus kinerjanya. semua fungsi nya normal, cuma agak boros di batrenya aja, overall puas belanja disini. terimakasih",Normal,5
"sempet kaget abang kurir nganter pas hujan², ngingetin langsung di unboxing kak takut kenapa² soal nya dus nya basah sedikit, allhamdulillah aman. kondisi hp masih disege...",Normal,4
